year,count
2013,288856
2012,660024
2011,638375
2010,610632
2009,586916
2008,566317
2007,541973
2006,517857
2005,492386
2004,461789
2003,433621
2002,408078
2001,391582
2000,373349
1999,346917
1998,337758
1997,322691
1996,314007
1995,307865
1994,299565
1993,291613
1992,286316
1991,280538
1990,278085
1989,271387
1988,211556
1987,202101
1986,193603
1985,187028
1984,179082
1983,163139
1982,130834
1981,124925
1980,125663
1979,116157
1978,107663
1977,104141
1976,106918
1975,98160
1974,10336
1973,8500
1972,8002
1971,7034
1970,6511
1969,5797
1968,4423
1967,3939
1966,3451
1965,2777
1964,2421
1963,2072
1962,1533
1961,1077
1960,831
1959,678
1958,438
1957,384
1956,362
1955,315
1954,277
1953,274
1952,204
1951,232
1950,269
1949,172
1948,58
1947,44
1946,10
1945,1
1944,5
1943,3
1942,6
1941,2
1940,6
1939,3
1938,9
1937,2
1936,4
1935,2
1934,3
1933,1
1932,1
1929,2
1928,2
1926,1
1925,2
1916,1
1913,2
1909,1
1903,1
1902,1
